role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.0005036246959066617,6.295308698833271e-05
Server,1024,1.0 KB,0.004319920943339991,0.0005399901179174989
Server,4096,4.0 KB,0.020667474696817702,0.002583434337102213
Server,16384,16.0 KB,0.05916217757432246,0.007395272196790308
Server,65536,64.0 KB,0.7831086100787815,0.09788857625984769
Server,262144,256.0 KB,37.19759377215704,4.64969922151963
Server,1048576,1.0 MB,124.18956800015708,15.523696000019635
Server,4194304,4.0 MB,143.06967779145924,17.883709723932405
Server,8388608,8.0 MB,206.45088602054474,25.806360752568093
Server,16777216,16.0 MB,291.2564505776901,36.40705632221126
Server,33554432,32.0 MB,381.9892447322721,47.74865559153401
Server,67108864,64.0 MB,438.7553444828944,54.8444180603618
Server,134217728,128.0 MB,451.53273744682906,56.44159218085363
Server,268435456,256.0 MB,454.98519100845954,56.87314887605744
Server,536870912,512.0 MB,452.1166071207117,56.51457589008896
Server,1073741824,1.0 GB,448.1388508976139,56.01735636220174
