role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.0004678871544879371,5.8485894310992137e-05
Server,1024,1.0 KB,0.004333294457645128,0.000541661807205641
Server,4096,4.0 KB,0.03399977426620089,0.004249971783275111
Server,16384,16.0 KB,0.10223798475363771,0.012779748094204714
Server,65536,64.0 KB,0.5364560009046347,0.06705700011307934
Server,262144,256.0 KB,5.706039184798802,0.7132548980998502
Server,1048576,1.0 MB,121.9958827773223,15.249485347165287
Server,4194304,4.0 MB,131.3287067177062,16.416088339713276
Server,8388608,8.0 MB,191.15592856622547,23.894491070778184
Server,16777216,16.0 MB,262.6999803569627,32.83749754462034
Server,33554432,32.0 MB,316.8238711099803,39.60298388874754
Server,67108864,64.0 MB,356.72450419787725,44.59056302473466
Server,134217728,128.0 MB,382.64025650950595,47.83003206368824
Server,268435456,256.0 MB,403.7584749900111,50.46980937375139
Server,536870912,512.0 MB,403.4975885385066,50.437198567313324
Server,1073741824,1.0 GB,410.113631589076,51.2642039486345
