role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.00044608613438911924,5.5760766798639905e-05
Client,1024,1.0 KB,0.0018350119931361307,0.00022937649914201634
Client,4096,4.0 KB,0.021615116488765965,0.0027018895610957457
Client,16384,16.0 KB,0.10857109631528045,0.013571387039410056
Client,65536,64.0 KB,0.7864045941977236,0.09830057427471545
Client,262144,256.0 KB,4.095899202974009,0.5119874003717512
Client,1048576,1.0 MB,122.52994010979674,15.316242513724593
Client,4194304,4.0 MB,31.757671854947198,3.9697089818683997
Client,8388608,8.0 MB,240.55718728248783,30.06964841031098
Client,16777216,16.0 MB,326.4142682946836,40.80178353683545
Client,33554432,32.0 MB,418.8380058182111,52.35475072727639
Client,67108864,64.0 MB,483.98220758411605,60.49777594801451
Client,134217728,128.0 MB,522.67332730585,65.33416591323125
Client,268435456,256.0 MB,547.2290271102204,68.40362838877755
Client,536870912,512.0 MB,558.6745334870076,69.83431668587595
Client,1073741824,1.0 GB,569.2753983361904,71.1594247920238
