role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.00044138403809649163,5.5173004762061454e-05
Client,1024,1.0 KB,0.0021168009527354767,0.0002646001190919346
Client,4096,4.0 KB,0.013325408360097778,0.0016656760450122223
Client,16384,16.0 KB,0.3026681124343981,0.037833514054299765
Client,65536,64.0 KB,0.37291790146805354,0.04661473768350669
Client,262144,256.0 KB,1.5292542561888973,0.19115678202361217
Client,1048576,1.0 MB,122.04025919758719,15.255032399698399
Client,4194304,4.0 MB,29.491417158967405,3.6864271448709256
Client,8388608,8.0 MB,157.217518993405,19.652189874175626
Client,16777216,16.0 MB,205.7579283907273,25.719741048840913
Client,33554432,32.0 MB,241.02485611001646,30.128107013752057
Client,67108864,64.0 MB,263.0173769999412,32.87717212499265
Client,134217728,128.0 MB,277.00898092986887,34.62612261623361
Client,268435456,256.0 MB,286.9320269990413,35.86650337488016
Client,536870912,512.0 MB,292.92959730617474,36.61619966327184
Client,1073741824,1.0 GB,298.59581180803355,37.32447647600419
