Setting up files limit...
Current fd limit: soft=1048576, hard=1048576
fd limit already at maximum
Creating Engine with GPU index: 0, CPUs: 4
RdmaDeviceManager: Found 16 RDMA device(s)
  [0] rdmap85s0
  [1] rdmap86s0
  [2] rdmap87s0
  [3] rdmap88s0
  [4] rdmap110s0
  [5] rdmap111s0
  [6] rdmap112s0
  [7] rdmap113s0
  [8] rdmap135s0
  [9] rdmap136s0
  [10] rdmap137s0
  [11] rdmap138s0
  [12] rdmap160s0
  [13] rdmap161s0
  [14] rdmap162s0
  [15] rdmap163s0
RdmaDeviceManager: Initialization complete
GPU 0 uses device 0 (rdmap85s0)
GPU 0 uses device 1 (rdmap86s0)
System assigned port: 42421
[GreenContext] Created: 64 / 132 SMs on device 0 (requested 64, aligned to 64)
Engine initialized for GPU 0
Endpoint initialized successfully
[Rank 0] Created p2p.Endpoint on GPU 0
[Rank 0] Establishing connections with all peers...
[Rank 0] Rank 1 is remote (IP: 172.31.39.21)
Accepted connection fd=244 from 172.31.39.21Accept connection from a specific peer:34280

Attempting to connect to 172.31.39.21:0 via port 35119
Waiting to accept incoming connection...
Connected to 172.31.39.21:35119 (fd=245)
[Rank 0] Accepted remote connection from rank 1 (IP 172.31.39.21, GPU 0) for receiving (conn_id=0)
[Rank 0] Connected remotely to rank 1 for sending (conn_id=1)
[Rank 0] Full mesh established: 0 local connections, 1 remote connections
[Rank 0] All connections established.
UCCL Collective Benchmark — role: client
Message sizes: 256 B, 1.0 KB, 4.0 KB, 16.0 KB, 64.0 KB, 256.0 KB, 1.0 MB, 4.0 MB, 8.0 MB, 16.0 MB, 32.0 MB, 64.0 MB, 128.0 MB, 256.0 MB, 512.0 MB, 1.0 GB
Device: GPU | Local GPU idx: 0 | Iters: 10 | Dtype: bfloat16
Using synchronous API (send/recv)
[Client]     256 B :    0.00 Gbps |    0.00 GB/s
[Client]    1.0 KB :    0.00 Gbps |    0.00 GB/s
[Client]    4.0 KB :    0.01 Gbps |    0.00 GB/s
[Client]   16.0 KB :    0.09 Gbps |    0.01 GB/s
[Client]   64.0 KB :    0.56 Gbps |    0.07 GB/s
[Client]  256.0 KB :    4.16 Gbps |    0.52 GB/s
[Client]    1.0 MB :  121.36 Gbps |   15.17 GB/s
[ERROR ip-172-31-42-123 217968 217968 compressSendRequestSplitFirst rdma/rdma_channel_group.h:444] compressSendRequestSplitFirst: split=2554us, encode=3248us
[ERROR ip-172-31-42-123 217968 217968 compressSendRequestSplitFirst rdma/rdma_channel_group.h:444] compressSendRequestSplitFirst: split=34us, encode=62us
[ERROR ip-172-31-42-123 217968 217968 compressSendRequestSplitFirst rdma/rdma_channel_group.h:444] compressSendRequestSplitFirst: split=26us, encode=58us
[ERROR ip-172-31-42-123 217968 217968 compressSendRequestSplitFirst rdma/rdma_channel_group.h:444] compressSendRequestSplitFirst: split=26us, encode=58us
[ERROR ip-172-31-42-123 217968 217968 compressSendRequestSplitFirst rdma/rdma_channel_group.h:444] compressSendRequestSplitFirst: split=24us, encode=59us
[ERROR ip-172-31-42-123 217968 217968 compressSendRequestSplitFirst rdma/rdma_channel_group.h:444] compressSendRequestSplitFirst: split=31us, encode=58us
[ERROR ip-172-31-42-123 217968 217968 compressSendRequestSplitFirst rdma/rdma_channel_group.h:444] compressSendRequestSplitFirst: split=24us, encode=58us
[ERROR ip-172-31-42-123 217968 217968 compressSendRequestSplitFirst rdma/rdma_channel_group.h:444] compressSendRequestSplitFirst: split=24us, encode=57us
[ERROR ip-172-31-42-123 217968 217968 compressSendRequestSplitFirst rdma/rdma_channel_group.h:444] compressSendRequestSplitFirst: split=24us, encode=58us
