size_label,size_bytes,world_size,variant,cuda_ms,wall_ms,cuda_vs_nccl_pct,wall_vs_nccl_pct,cuda_algbw_GBps,cuda_busbw_GBps,wall_algbw_GBps,wall_busbw_GBps,comp_ratio
4 MB,4194304,8,NCCL,0.358470,0.358543,100.00,100.00,11.7006,20.4760,11.6982,20.4718,
4 MB,4194304,8,NoSize,2.722627,2.723312,13.17,13.17,1.5405,2.6959,1.5401,2.6953,0.650002
8 MB,8388608,8,NCCL,0.502477,0.502636,100.00,100.00,16.6945,29.2154,16.6892,29.2062,
8 MB,8388608,8,NoSize,0.666789,0.667232,75.36,75.33,12.5806,22.0161,12.5723,22.0014,0.650002
16 MB,16777216,8,NCCL,0.838979,0.839189,100.00,100.00,19.9972,34.9951,19.9922,34.9863,
16 MB,16777216,8,NoSize,0.891662,0.892206,94.09,94.06,18.8157,32.9274,18.8042,32.9073,0.650000
32 MB,33554432,8,NCCL,1.509599,1.509796,100.00,100.00,22.2274,38.8979,22.2245,38.8928,
32 MB,33554432,8,NoSize,1.424997,1.425547,105.94,105.91,23.5470,41.2073,23.5379,41.1914,0.650001
64 MB,67108864,8,NCCL,2.964956,2.965174,100.00,100.00,22.6340,39.6095,22.6324,39.6066,
64 MB,67108864,8,NoSize,2.460835,2.461399,120.49,120.47,27.2708,47.7238,27.2645,47.7129,0.650000
256 MB,268435456,8,NCCL,11.540684,11.541726,100.00,100.00,23.2599,40.7049,23.2578,40.7012,
256 MB,268435456,8,NoSize,9.116736,9.117303,126.59,126.59,29.4443,51.5274,29.4424,51.5242,0.650000
1 GB,1073741824,8,NCCL,45.585376,45.588978,100.00,100.00,23.5545,41.2204,23.5527,41.2172,
1 GB,1073741824,8,NoSize,35.027588,35.028318,130.14,130.15,30.6542,53.6448,30.6535,53.6437,0.650000
