[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23198128 bytes, ratio: 0.691358x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22971248 bytes, ratio: 0.684597x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22759168 bytes, ratio: 0.678276x
