[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821264 bytes, ratio: 0.675783x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821264 bytes, ratio: 0.675783x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821264 bytes, ratio: 0.675783x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821264 bytes, ratio: 0.675783x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821264 bytes, ratio: 0.675783x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821264 bytes, ratio: 0.675783x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821264 bytes, ratio: 0.675783x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821264 bytes, ratio: 0.675783x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821264 bytes, ratio: 0.675783x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821264 bytes, ratio: 0.675783x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821264 bytes, ratio: 0.675783x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75722624 bytes, ratio: 0.674904x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75753440 bytes, ratio: 0.675179x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75782400 bytes, ratio: 0.675437x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75798896 bytes, ratio: 0.675584x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75773760 bytes, ratio: 0.67536x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75787872 bytes, ratio: 0.675485x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75819248 bytes, ratio: 0.675765x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75773696 bytes, ratio: 0.675359x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75750976 bytes, ratio: 0.675157x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75732848 bytes, ratio: 0.674995x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75741376 bytes, ratio: 0.675071x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75747680 bytes, ratio: 0.675127x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75764480 bytes, ratio: 0.675277x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75824496 bytes, ratio: 0.675812x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75792592 bytes, ratio: 0.675528x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75775872 bytes, ratio: 0.675379x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75732320 bytes, ratio: 0.67499x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75760672 bytes, ratio: 0.675243x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75769040 bytes, ratio: 0.675318x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75739216 bytes, ratio: 0.675052x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75772544 bytes, ratio: 0.675349x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75767360 bytes, ratio: 0.675303x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75742608 bytes, ratio: 0.675082x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75777056 bytes, ratio: 0.675389x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75805856 bytes, ratio: 0.675646x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75766912 bytes, ratio: 0.675299x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75737728 bytes, ratio: 0.675039x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75719296 bytes, ratio: 0.674874x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75705216 bytes, ratio: 0.674749x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75698736 bytes, ratio: 0.674691x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75681792 bytes, ratio: 0.67454x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75675824 bytes, ratio: 0.674487x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75693808 bytes, ratio: 0.674647x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75680128 bytes, ratio: 0.674525x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75686352 bytes, ratio: 0.674581x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75690496 bytes, ratio: 0.674618x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75758864 bytes, ratio: 0.675227x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75823232 bytes, ratio: 0.675801x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75890144 bytes, ratio: 0.676397x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75698736 bytes, ratio: 0.674691x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75739216 bytes, ratio: 0.675052x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75824496 bytes, ratio: 0.675812x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75747680 bytes, ratio: 0.675127x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75719296 bytes, ratio: 0.674874x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75890144 bytes, ratio: 0.676397x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75767360 bytes, ratio: 0.675303x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75737728 bytes, ratio: 0.675039x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75680128 bytes, ratio: 0.674525x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75742608 bytes, ratio: 0.675082x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75705216 bytes, ratio: 0.674749x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75698736 bytes, ratio: 0.674691x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75732320 bytes, ratio: 0.67499x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75798896 bytes, ratio: 0.675584x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75742608 bytes, ratio: 0.675082x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75675824 bytes, ratio: 0.674487x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75739216 bytes, ratio: 0.675052x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75760672 bytes, ratio: 0.675243x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75764480 bytes, ratio: 0.675277x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75777056 bytes, ratio: 0.675389x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75719296 bytes, ratio: 0.674874x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75705216 bytes, ratio: 0.674749x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75773696 bytes, ratio: 0.675359x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75705216 bytes, ratio: 0.674749x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75824496 bytes, ratio: 0.675812x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75773760 bytes, ratio: 0.67536x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75675824 bytes, ratio: 0.674487x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75739216 bytes, ratio: 0.675052x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75732848 bytes, ratio: 0.674995x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75753440 bytes, ratio: 0.675179x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75773696 bytes, ratio: 0.675359x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75764480 bytes, ratio: 0.675277x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75741376 bytes, ratio: 0.675071x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75739216 bytes, ratio: 0.675052x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75824496 bytes, ratio: 0.675812x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75798896 bytes, ratio: 0.675584x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75773760 bytes, ratio: 0.67536x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75681792 bytes, ratio: 0.67454x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75787872 bytes, ratio: 0.675485x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75705216 bytes, ratio: 0.674749x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75732848 bytes, ratio: 0.674995x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75739216 bytes, ratio: 0.675052x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75739216 bytes, ratio: 0.675052x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75767360 bytes, ratio: 0.675303x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75698736 bytes, ratio: 0.674691x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75819248 bytes, ratio: 0.675765x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75680128 bytes, ratio: 0.674525x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75775872 bytes, ratio: 0.675379x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75675824 bytes, ratio: 0.674487x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75690496 bytes, ratio: 0.674618x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75698736 bytes, ratio: 0.674691x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75775872 bytes, ratio: 0.675379x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75722624 bytes, ratio: 0.674904x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75693808 bytes, ratio: 0.674647x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75775872 bytes, ratio: 0.675379x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75680128 bytes, ratio: 0.674525x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75824496 bytes, ratio: 0.675812x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75690496 bytes, ratio: 0.674618x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75742608 bytes, ratio: 0.675082x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75722624 bytes, ratio: 0.674904x
[Client] model.layers.mlp.down_proj.weight              107.0 MB |  389.81 Gbps |   48.73 GB/s
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151644144 bytes, ratio: 0.67579x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151644144 bytes, ratio: 0.67579x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151644144 bytes, ratio: 0.67579x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151644144 bytes, ratio: 0.67579x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151644144 bytes, ratio: 0.67579x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151644144 bytes, ratio: 0.67579x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151644144 bytes, ratio: 0.67579x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151644144 bytes, ratio: 0.67579x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151644144 bytes, ratio: 0.67579x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151644144 bytes, ratio: 0.67579x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151644144 bytes, ratio: 0.67579x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151490064 bytes, ratio: 0.675104x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151535936 bytes, ratio: 0.675308x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151544896 bytes, ratio: 0.675348x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151595104 bytes, ratio: 0.675572x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151449520 bytes, ratio: 0.674923x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151546576 bytes, ratio: 0.675355x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151595168 bytes, ratio: 0.675572x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151549088 bytes, ratio: 0.675367x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151468688 bytes, ratio: 0.675008x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151448608 bytes, ratio: 0.674919x
