name,shape,dtype,Data size,size_bytes,comp_time_ms,decomp_time_ms,comp_throughput_gb_s,decomp_throughput_gb_s,compressed_bytes,compression_ratio
decoder.layers.0,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.087,0.085,192.52,198.35,11757488,0.7008
decoder.layers.1,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.085,0.08,197.47,208.49,11723104,0.6988
decoder.layers.10,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.082,0.076,205.53,220.75,11615248,0.6923
decoder.layers.11,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.086,0.076,194.78,220.27,11586400,0.6906
decoder.layers.12,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.081,0.076,206.37,221.12,11561136,0.6891
decoder.layers.13,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.081,0.076,207.96,221.21,11527744,0.6871
decoder.layers.14,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.08,0.076,209.74,220.44,11509088,0.686
decoder.layers.15,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.08,0.076,209.34,222.19,11479392,0.6842
decoder.layers.16,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.081,0.078,207.91,215.55,11469536,0.6836
decoder.layers.17,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.086,0.077,195.9,217.94,11457312,0.6829
decoder.layers.18,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.081,0.08,206.49,210.12,11450080,0.6825
decoder.layers.19,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.08,0.076,208.49,219.62,11440432,0.6819
decoder.layers.2,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.083,0.076,202.39,221.18,11701712,0.6975
decoder.layers.20,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.081,0.075,207.84,223.04,11433840,0.6815
decoder.layers.21,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.08,0.076,209.9,221.65,11427584,0.6811
decoder.layers.22,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.08,0.074,209.75,226.08,11411680,0.6802
decoder.layers.23,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.085,0.074,197.52,228.13,11402608,0.6796
decoder.layers.24,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.084,0.076,199.75,220.9,11397296,0.6793
decoder.layers.25,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.086,0.074,194.73,225.89,11407152,0.6799
decoder.layers.26,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.081,0.075,208.13,224.05,11394880,0.6792
decoder.layers.27,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.084,0.076,198.9,220.55,11390064,0.6789
decoder.layers.28,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.08,0.081,209.97,207.92,11388544,0.6788
decoder.layers.29,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.087,0.077,193.94,218.76,11388032,0.6788
decoder.layers.3,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.081,0.075,207.62,223.79,11677872,0.6961
decoder.layers.30,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.083,0.074,201.9,225.76,11388288,0.6788
decoder.layers.31,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.081,0.075,207.83,222.65,11388304,0.6788
decoder.layers.32,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.08,0.076,208.56,220.92,11388176,0.6788
decoder.layers.33,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.081,0.077,208.28,218.02,11390400,0.6789
decoder.layers.34,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.084,0.076,200.64,219.92,11397248,0.6793
decoder.layers.35,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.081,0.076,208.17,222.05,11396944,0.6793
decoder.layers.36,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.143,0.075,117.13,222.33,11396064,0.6793
decoder.layers.37,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.089,0.075,188.14,223.66,11402064,0.6796
decoder.layers.38,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.082,0.078,204.64,215.26,11394592,0.6792
decoder.layers.39,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.08,0.075,209.6,222.54,11378112,0.6782
decoder.layers.4,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.081,0.079,207.49,213.51,11684944,0.6965
decoder.layers.5,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.087,0.074,193.61,225.25,11685344,0.6965
decoder.layers.6,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.089,0.077,189.4,218.16,11690672,0.6968
decoder.layers.7,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.087,0.074,192.97,228.02,11680144,0.6962
decoder.layers.8,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.08,0.074,209.66,226.31,11657120,0.6948
decoder.layers.9,"[2048, 1, 4096]",bfloat16,16.0 MB,16777216,0.084,0.076,199.66,220.56,11647232,0.6942
