name,shape,dtype,Data size,size_bytes,comp_time_ms,decomp_time_ms,comp_throughput_gb_s,decomp_throughput_gb_s,compressed_bytes,compression_ratio
decoder.final_layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.06,0.25,0.27,14320,0.874
decoder.layers.0.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.059,0.25,0.28,14352,0.876
decoder.layers.0.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.275,0.237,816.96,947.27,190384032,0.8484
decoder.layers.0.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.173,0.141,647.91,797.77,95600688,0.8521
decoder.layers.0.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.06,0.26,0.27,14320,0.874
decoder.layers.0.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.07,0.06,0.24,0.27,14368,0.877
decoder.layers.0.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.1,0.104,334.88,321.3,28545344,0.8507
decoder.layers.0.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.06,0.052,0.15,0.18,8480,0.9201
decoder.layers.0.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.063,0.26,0.26,14288,0.8721
decoder.layers.0.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.103,0.106,365.48,355.57,32112288,0.8507
decoder.layers.10.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.061,0.26,0.27,14448,0.8818
decoder.layers.10.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.27,0.239,829.64,938.96,188565008,0.8403
decoder.layers.10.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.17,0.139,658.67,809.58,94348960,0.8409
decoder.layers.10.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.065,0.26,0.25,14320,0.874
decoder.layers.10.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.072,0.064,0.23,0.26,14320,0.874
decoder.layers.10.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.1,0.102,336.56,327.4,28382944,0.8459
decoder.layers.10.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.059,0.047,0.16,0.19,8496,0.9219
decoder.layers.10.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.071,0.059,0.23,0.28,14432,0.8809
decoder.layers.10.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.102,0.105,370.94,358.81,32201824,0.8531
decoder.layers.11.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.064,0.26,0.25,14416,0.8799
decoder.layers.11.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.274,0.238,817.68,943.86,188596688,0.8405
decoder.layers.11.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.171,0.138,655.18,812.37,94333504,0.8408
decoder.layers.11.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.071,0.059,0.23,0.28,14320,0.874
decoder.layers.11.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.063,0.26,0.26,14336,0.875
decoder.layers.11.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.096,0.105,348.03,320.8,28179888,0.8398
decoder.layers.11.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.06,0.047,0.15,0.2,8464,0.9184
decoder.layers.11.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.071,0.06,0.23,0.27,14416,0.8799
decoder.layers.11.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.103,0.109,366.19,345.88,31954384,0.8465
decoder.layers.12.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.07,0.059,0.23,0.28,14400,0.8789
decoder.layers.12.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.277,0.235,810.45,954.66,188622112,0.8406
decoder.layers.12.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.171,0.139,654.87,807.33,94318192,0.8406
decoder.layers.12.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.061,0.26,0.27,14320,0.874
decoder.layers.12.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.068,0.06,0.24,0.28,14336,0.875
decoder.layers.12.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.095,0.102,352.7,328.86,28224048,0.8411
decoder.layers.12.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.059,0.047,0.16,0.2,8480,0.9201
decoder.layers.12.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.065,0.062,0.25,0.26,14400,0.8789
decoder.layers.12.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.104,0.106,364.47,357.1,32038816,0.8487
decoder.layers.13.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.063,0.26,0.26,14384,0.8779
