role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.00035621211768529614,4.452651471066202e-05
Server,1024,1.0 KB,0.0030206539775979265,0.0003775817471997408
Server,4096,4.0 KB,0.018531642232687898,0.002316455279085987
Server,16384,16.0 KB,0.10754972447080582,0.013443715558850728
Server,65536,64.0 KB,0.7247542209384114,0.09059427761730142
Server,262144,256.0 KB,6.583154234642792,0.822894279330349
Server,1048576,1.0 MB,125.38069765817792,15.67258720727224
Server,4194304,4.0 MB,146.24529095608628,18.280661369510785
Server,8388608,8.0 MB,210.01525940460115,26.251907425575144
Server,16777216,16.0 MB,302.95445098356527,37.86930637294566
Server,33554432,32.0 MB,376.13260157843865,47.01657519730483
Server,67108864,64.0 MB,435.63044135633186,54.45380516954148
Server,134217728,128.0 MB,458.96415626711894,57.37051953338987
Server,268435456,256.0 MB,476.97860442306666,59.62232555288333
Server,536870912,512.0 MB,478.2580930654666,59.782261633183325
Server,1073741824,1.0 GB,482.7490772338871,60.343634654235885
