role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.00050389529743945,6.298691217993125e-05
Client,1024,1.0 KB,0.004320866080450356,0.0005401082600562945
Client,4096,4.0 KB,0.020634264366103747,0.0025792830457629684
Client,16384,16.0 KB,0.0591552727152279,0.0073944090894034874
Client,65536,64.0 KB,0.7829468656863365,0.09786835821079207
Client,262144,256.0 KB,37.10952280788899,4.638690350986124
Client,1048576,1.0 MB,124.45045979715752,15.55630747464469
Client,4194304,4.0 MB,36.181595742077306,4.522699467759663
Client,8388608,8.0 MB,205.93058016663238,25.741322520829048
Client,16777216,16.0 MB,286.9805400273253,35.87256750341566
Client,33554432,32.0 MB,381.4899160376663,47.68623950470829
Client,67108864,64.0 MB,437.68219034832043,54.710273793540054
Client,134217728,128.0 MB,450.3438686610011,56.29298358262514
Client,268435456,256.0 MB,455.3730384447721,56.92162980559651
Client,536870912,512.0 MB,452.4601308317412,56.55751635396765
Client,1073741824,1.0 GB,450.9256758867553,56.36570948584441
