role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.0004375034632847834,5.468793291059793e-05
Client,1024,1.0 KB,0.0026143433750888114,0.00032679292188610143
Client,4096,4.0 KB,0.03384949463120105,0.004231186828900131
Client,16384,16.0 KB,0.10220763395341184,0.01277595424417648
Client,65536,64.0 KB,1.463508459400496,0.182938557425062
Client,262144,256.0 KB,5.731351561924821,0.7164189452406027
Client,1048576,1.0 MB,122.55465082949179,15.319331353686474
Client,4194304,4.0 MB,212.98383636474742,26.622979545593427
Client,8388608,8.0 MB,260.97339486119193,32.62167435764899
Client,16777216,16.0 MB,310.72601105838044,38.840751382297555
Client,33554432,32.0 MB,330.502299904903,41.312787488112875
Client,67108864,64.0 MB,341.1872585705905,42.64840732132381
Client,134217728,128.0 MB,361.0546231396793,45.13182789245991
Client,268435456,256.0 MB,364.67671304771676,45.584589130964595
Client,536870912,512.0 MB,375.4699592055664,46.9337449006958
Client,1073741824,1.0 GB,374.1336743725178,46.76670929656473
