role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.00046819766262762454,5.852470782845307e-05
Client,1024,1.0 KB,0.00433381094139176,0.00054172636767397
Client,4096,4.0 KB,0.0339818840428105,0.004247735505351313
Client,16384,16.0 KB,0.10223119087172128,0.01277889885896516
Client,65536,64.0 KB,0.5368897670621721,0.06711122088277151
Client,262144,256.0 KB,5.704974384231559,0.7131217980289448
Client,1048576,1.0 MB,122.29592041899706,15.286990052374632
Client,4194304,4.0 MB,35.596586821436766,4.449573352679596
Client,8388608,8.0 MB,190.40898085495573,23.801122606869466
Client,16777216,16.0 MB,261.5603401080479,32.69504251350599
Client,33554432,32.0 MB,316.5364634286462,39.56705792858077
Client,67108864,64.0 MB,356.48027349335666,44.56003418666958
Client,134217728,128.0 MB,382.51998542156133,47.814998177695166
Client,268435456,256.0 MB,403.61607548507214,50.45200943563402
Client,536870912,512.0 MB,403.46610149985224,50.43326268748153
Client,1073741824,1.0 GB,410.07209420543614,51.25901177567952
