role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.0007187713678204812,8.984642097756015e-05
Server,1024,1.0 KB,0.005203862198239215,0.0006504827747799019
Server,4096,4.0 KB,0.10028646595262389,0.012535808244077986
Server,16384,16.0 KB,0.8462148861699389,0.10577686077124236
Server,65536,64.0 KB,0.9433026838908362,0.11791283548635452
Server,262144,256.0 KB,6.435701925588435,0.8044627406985544
Server,1048576,1.0 MB,121.185528757092,15.1481910946365
Server,4194304,4.0 MB,133.96041898501133,16.745052373126416
Server,8388608,8.0 MB,182.84174649875402,22.855218312344252
Server,16777216,16.0 MB,264.8979038800528,33.1122379850066
Server,33554432,32.0 MB,319.10456887327285,39.88807110915911
Server,67108864,64.0 MB,359.8433977281293,44.98042471601616
Server,134217728,128.0 MB,382.44532238748076,47.805665298435095
Server,268435456,256.0 MB,397.9112214876687,49.738902685958585
Server,536870912,512.0 MB,407.0446896544379,50.880586206804736
Server,1073741824,1.0 GB,414.6078607724645,51.82598259655806
