role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.0003553667299896872,4.44208412487109e-05
Client,1024,1.0 KB,0.0034102215024997507,0.00042627768781246884
Client,4096,4.0 KB,0.012062829189885523,0.0015078536487356904
Client,16384,16.0 KB,0.1707889765486987,0.02134862206858734
Client,65536,64.0 KB,0.33446994855444606,0.04180874356930576
Client,262144,256.0 KB,37.54811385969143,4.693514232461429
Client,1048576,1.0 MB,115.53108723405869,14.441385904257336
Client,4194304,4.0 MB,30.775409267319827,3.8469261584149783
Client,8388608,8.0 MB,207.48820756979438,25.936025946224298
Client,16777216,16.0 MB,295.40258096095977,36.92532262011997
Client,33554432,32.0 MB,402.62960688062515,50.32870086007814
Client,67108864,64.0 MB,450.84836712538186,56.35604589067273
Client,134217728,128.0 MB,472.8808412215846,59.110105152698075
Client,268435456,256.0 MB,481.02017582618856,60.12752197827357
Client,536870912,512.0 MB,483.2037428823081,60.400467860288515
Client,1073741824,1.0 GB,487.7487449732542,60.968593121656774
