role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.00036833784463380473,4.604223057922559e-05
Server,1024,1.0 KB,0.0025092809187790676,0.00031366011484738345
Server,4096,4.0 KB,0.1120936846859469,0.014011710585743362
Server,16384,16.0 KB,0.1049894329225147,0.013123679115314337
Server,65536,64.0 KB,0.25226501228005166,0.03153312653500646
Server,262144,256.0 KB,36.867367411151044,4.6084209263938805
Server,1048576,1.0 MB,121.91698275666097,15.239622844582621
Server,4194304,4.0 MB,141.84339587878213,17.730424484847767
Server,8388608,8.0 MB,205.43483673052322,25.679354591315402
Server,16777216,16.0 MB,280.618569395015,35.07732117437688
Server,33554432,32.0 MB,341.81630771564306,42.72703846445538
Server,67108864,64.0 MB,390.8879426157934,48.860992826974176
Server,134217728,128.0 MB,421.3831319326003,52.67289149157504
Server,268435456,256.0 MB,433.4412349283958,54.18015436604947
Server,536870912,512.0 MB,450.6872980439359,56.33591225549199
Server,1073741824,1.0 GB,451.81082812527535,56.47635351565942
