role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.00043614772796090825,5.451846599511353e-05
Server,1024,1.0 KB,0.00318698638604285,0.0003983732982553563
Server,4096,4.0 KB,0.0176001378967186,0.002200017237089825
Server,16384,16.0 KB,0.19949863394058795,0.024937329242573494
Server,65536,64.0 KB,0.25196203801692657,0.03149525475211582
Server,262144,256.0 KB,2.734165908880827,0.3417707386101034
Server,1048576,1.0 MB,124.03586528822852,15.504483161028565
Server,4194304,4.0 MB,165.5162581922268,20.68953227402835
Server,8388608,8.0 MB,234.24333167791065,29.28041645973883
Server,16777216,16.0 MB,308.60070768508416,38.57508846063552
Server,33554432,32.0 MB,410.534317275131,51.316789659391375
Server,67108864,64.0 MB,471.5633529986582,58.94541912483228
Server,134217728,128.0 MB,502.13997495328925,62.76749686916116
Server,268435456,256.0 MB,520.630721632628,65.0788402040785
Server,536870912,512.0 MB,530.8582265539361,66.35727831924201
Server,1073741824,1.0 GB,530.9340635082165,66.36675793852706
