role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.00038578071804238695,4.822258975529837e-05
Server,1024,1.0 KB,0.0051653716551535315,0.0006456714568941914
Server,4096,4.0 KB,0.025604974963189468,0.0032006218703986835
Server,16384,16.0 KB,0.08237435119679061,0.010296793899598826
Server,65536,64.0 KB,1.4637867133191016,0.1829733391648877
Server,262144,256.0 KB,5.724197732317268,0.7155247165396585
Server,1048576,1.0 MB,120.15945678629454,15.019932098286818
Server,4194304,4.0 MB,211.9968164859299,26.49960206074124
Server,8388608,8.0 MB,259.71766803584075,32.46470850448009
Server,16777216,16.0 MB,302.92839763255904,37.86604970406988
Server,33554432,32.0 MB,336.3135531148292,42.03919413935365
Server,67108864,64.0 MB,343.52626016537886,42.94078252067236
Server,134217728,128.0 MB,355.0210874367975,44.377635929599684
Server,268435456,256.0 MB,371.04174452928214,46.38021806616027
Server,536870912,512.0 MB,371.88158431394476,46.485198039243095
Server,1073741824,1.0 GB,377.6282806262742,47.203535078284276
