role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.00043716414348111846,5.464551793513981e-05
Server,1024,1.0 KB,0.003265347251659844,0.0004081684064574805
Server,4096,4.0 KB,0.03394571961829499,0.004243214952286874
Server,16384,16.0 KB,0.37189623053588755,0.046487028816985944
Server,65536,64.0 KB,0.4069209659940941,0.050865120749261764
Server,262144,256.0 KB,3.0943576464884286,0.3867947058110536
Server,1048576,1.0 MB,122.0164708481373,15.252058856017163
Server,4194304,4.0 MB,149.91630344197876,18.739537930247344
Server,8388608,8.0 MB,211.02182058482063,26.37772757310258
Server,16777216,16.0 MB,298.8207439328415,37.352592991605185
Server,33554432,32.0 MB,378.1257186289007,47.26571482861259
Server,67108864,64.0 MB,431.2830005063256,53.9103750632907
Server,134217728,128.0 MB,464.14819567310246,58.01852445913781
Server,268435456,256.0 MB,480.99194879398107,60.12399359924763
Server,536870912,512.0 MB,496.51875233009093,62.06484404126137
Server,1073741824,1.0 GB,500.91003283799034,62.61375410474879
