role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.0004365826873857758,5.457283592322198e-05
Client,1024,1.0 KB,0.003716886835748531,0.0004646108544685664
Client,4096,4.0 KB,0.017272195905036366,0.0021590244881295457
Client,16384,16.0 KB,0.3702536112376877,0.04628170140471096
Client,65536,64.0 KB,0.7852346746722848,0.0981543343340356
Client,262144,256.0 KB,5.713670765238576,0.714208845654822
Client,1048576,1.0 MB,124.21844306036287,15.527305382545359
Client,4194304,4.0 MB,37.82803110855228,4.728503888569035
Client,8388608,8.0 MB,243.73319366100813,30.466649207626016
Client,16777216,16.0 MB,327.264527443399,40.908065930424875
Client,33554432,32.0 MB,418.35327072849304,52.29415884106163
Client,67108864,64.0 MB,505.39149130399716,63.173936412999645
Client,134217728,128.0 MB,532.913734392263,66.61421679903287
Client,268435456,256.0 MB,557.3143735278412,69.66429669098015
Client,536870912,512.0 MB,565.8284711882317,70.72855889852896
Client,1073741824,1.0 GB,577.5456703788055,72.19320879735069
