role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.00043710896298143165,5.4638620372678956e-05
Server,1024,1.0 KB,0.0023805413304211994,0.00029756766630264993
Server,4096,4.0 KB,0.034062394856345726,0.004257799357043216
Server,16384,16.0 KB,2.998913215076483,0.37486415188456035
Server,65536,64.0 KB,0.7864065999262296,0.0983008249907787
Server,262144,256.0 KB,5.703056803426483,0.7128821004283104
Server,1048576,1.0 MB,124.38421088217012,15.548026360271265
Server,4194304,4.0 MB,170.83245263038054,21.354056578797568
Server,8388608,8.0 MB,230.63288143151414,28.829110178939267
Server,16777216,16.0 MB,330.53424693385506,41.31678086673188
Server,33554432,32.0 MB,420.18140862988304,52.52267607873538
Server,67108864,64.0 MB,483.8767756138867,60.48459695173584
Server,134217728,128.0 MB,514.9001730057894,64.36252162572367
Server,268435456,256.0 MB,543.1489122506209,67.89361403132762
Server,536870912,512.0 MB,550.254695017567,68.78183687719587
Server,1073741824,1.0 GB,559.7643868335429,69.97054835419286
