role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.00043471897529809837,5.4339871912262296e-05
Server,1024,1.0 KB,0.004292741268342873,0.0005365926585428591
Server,4096,4.0 KB,0.020641878768384702,0.0025802348460480878
Server,16384,16.0 KB,0.13366293576569552,0.01670786697071194
Server,65536,64.0 KB,1.4601064038917453,0.18251330048646816
Server,262144,256.0 KB,2.114191750307012,0.2642739687883765
Server,1048576,1.0 MB,119.07551537717077,14.884439422146347
Server,4194304,4.0 MB,187.297764686468,23.4122205858085
Server,8388608,8.0 MB,290.5821134965236,36.32276418706545
Server,16777216,16.0 MB,382.1143112905069,47.764288911313365
Server,33554432,32.0 MB,471.17225433303844,58.896531791629805
Server,67108864,64.0 MB,551.5581896105564,68.94477370131955
Server,134217728,128.0 MB,573.3331518766248,71.6666439845781
Server,268435456,256.0 MB,602.0421728334906,75.25527160418632
Server,536870912,512.0 MB,632.6266684094223,79.07833355117779
Server,1073741824,1.0 GB,640.2870368029222,80.03587960036528
