role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.0011321282688513895,0.0001415160336064237
Server,1024,1.0 KB,0.008913364854447502,0.0011141706068059378
Server,4096,4.0 KB,0.04040882365921223,0.005051102957401529
Server,16384,16.0 KB,0.3453582861978201,0.043169785774727513
Server,65536,64.0 KB,10.87186323040063,1.3589829038000787
Server,262144,256.0 KB,7.554628403945959,0.9443285504932448
Server,1048576,1.0 MB,122.12892007897024,15.26611500987128
Server,4194304,4.0 MB,152.05458218591033,19.00682277323879
Server,8388608,8.0 MB,241.5580639487216,30.1947579935902
Server,16777216,16.0 MB,345.51715500290965,43.189644375363706
Server,33554432,32.0 MB,433.195177067869,54.149397133483625
Server,67108864,64.0 MB,515.0623979294096,64.3827997411762
Server,134217728,128.0 MB,545.2174553442599,68.15218191803248
Server,268435456,256.0 MB,566.7428359198339,70.84285448997923
Server,536870912,512.0 MB,595.0556631071335,74.38195788839168
Server,1073741824,1.0 GB,602.8045383736581,75.35056729670727
